Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
MARYLAND,2016,42,,-,0,,1,,3,,,-,2,,0,,5,,39,,3,,,-,9,,22,,363,,410,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MARYLAND"",""zip"":""""}', 'latitude': '39.290443', 'longitude': '-76.612333', 'needs_recoding': False}",
NORTH CAROLINA,2016,42,,-,0,,1,,3,,5,,,-,6,,27,,318,,407,,,-,20,,41,,772,,953,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH CAROLINA"",""zip"":""""}', 'latitude': '35.47995', 'longitude': '-79.180571', 'needs_recoding': False}",
SOUTH CAROLINA,2016,42,,-,0,,1,,1,,2,,,-,0,,2,,20,,43,,,-,6,,15,,254,,224,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH CAROLINA"",""zip"":""""}', 'latitude': '34.009286', 'longitude': '-81.037094', 'needs_recoding': False}",
VIRGINIA,2016,42,,-,0,,1,,2,,3,,3,,4,,18,,239,,270,,,-,6,,41,,332,,276,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGINIA"",""zip"":""""}', 'latitude': '37.542699', 'longitude': '-78.45822', 'needs_recoding': False}",
WEST VIRGINIA,2016,42,,-,0,,0,,,-,,-,,-,0,,1,,7,,8,,1,,1,,4,,41,,38,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WEST VIRGINIA"",""zip"":""""}', 'latitude': '38.668501', 'longitude': '-80.709421', 'needs_recoding': False}",
E.S. CENTRAL,2016,42,,-,0,,4,,15,,18,,14,,15,,64,,1086,,1040,,2,,19,,38,,793,,790,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ALABAMA,2016,42,,-,0,,1,,4,,1,,6,,5,,24,,379,,270,,,-,5,,14,,186,,221,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ALABAMA"",""zip"":""""}', 'latitude': '32.839182', 'longitude': '-86.631125', 'needs_recoding': False}",
KENTUCKY,2016,42,,-,0,,2,,6,,,-,,-,2,,11,,117,,122,,2,,3,,12,,143,,114,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""KENTUCKY"",""zip"":""""}', 'latitude': '37.64591', 'longitude': '-84.774043', 'needs_recoding': False}",
MISSISSIPPI,2016,42,,-,0,,1,,1,,3,,,-,1,,7,,75,,89,,,-,5,,13,,215,,171,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MISSISSIPPI"",""zip"":""""}', 'latitude': '32.738663', 'longitude': '-89.537312', 'needs_recoding': False}",
TENNESSEE,2016,42,,-,0,,1,,4,,14,,8,,7,,40,,515,,559,,,-,7,,15,,249,,284,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""TENNESSEE"",""zip"":""""}', 'latitude': '35.681402', 'longitude': '-85.774444', 'needs_recoding': False}",
W.S. CENTRAL,2016,42,,-,0,,7,,7,,6,,4,,10,,307,,738,,900,,31,,54,,75,,2240,,2166,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ARKANSAS,2016,42,,-,0,,1,,5,,3,,4,,9,,75,,684,,818,,1,,3,,10,,105,,92,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ARKANSAS"",""zip"":""""}', 'latitude': '34.748745', 'longitude': '-92.275105', 'needs_recoding': False}",
LOUISIANA,2016,42,,-,0,,0,,,-,1,,,-,0,,2,,,-,11,,,-,13,,38,,443,,546,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""LOUISIANA"",""zip"":""""}', 'latitude': '31.2931', 'longitude': '-92.463284', 'needs_recoding': False}",
OKLAHOMA,2016,42,,-,0,,7,,,-,,-,,-,0,,275,,3,,25,,,-,4,,12,,159,,161,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OKLAHOMA"",""zip"":""""}', 'latitude': '35.468494', 'longitude': '-97.521264', 'needs_recoding': False}",
TEXAS,2016,42,,-,0,,1,,2,,2,,,-,1,,6,,51,,46,,30,,36,,51,,1533,,1367,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""TEXAS"",""zip"":""""}', 'latitude': '31.827233', 'longitude': '-99.423022', 'needs_recoding': False}",
MOUNTAIN,2016,42,,-,0,,2,,10,,17,,,-,0,,3,,19,,30,,2,,29,,43,,1223,,1132,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ARIZONA,2016,42,,-,0,,2,,7,,10,,,-,0,,2,,11,,7,,2,,12,,19,,491,,479,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ARIZONA"",""zip"":""""}', 'latitude': '34.869712', 'longitude': '-111.760902', 'needs_recoding': False}",
COLORADO,2016,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,7,,,-,4,,9,,183,,193,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""COLORADO"",""zip"":""""}', 'latitude': '38.841772', 'longitude': '-106.132562', 'needs_recoding': False}",
IDAHO,2016,42,,-,0,,1,,3,,,-,,-,0,,1,,4,,3,,,-,1,,5,,34,,38,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}', 'latitude': '43.680635', 'longitude': '-114.364237', 'needs_recoding': False}",
MONTANA,2016,42,,-,0,,0,,,-,5,,,-,0,,1,,3,,4,,,-,0,,2,,17,,10,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}', 'latitude': '47.062617', 'longitude': '-109.430168', 'needs_recoding': False}",
NEVADA,2016,42,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,,-,7,,14,,293,,271,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEVADA"",""zip"":""""}', 'latitude': '39.491833', 'longitude': '-117.070159', 'needs_recoding': False}",
NEW MEXICO,2016,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,,-,3,,10,,134,,89,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}', 'latitude': '34.520396', 'longitude': '-106.244402', 'needs_recoding': False}",
UTAH,2016,42,,-,0,,0,,,-,1,,,-,0,,0,,,-,6,,,-,1,,6,,69,,48,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""UTAH"",""zip"":""""}', 'latitude': '39.359772', 'longitude': '-111.584173', 'needs_recoding': False}",
WYOMING,2016,42,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,2,,4,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WYOMING"",""zip"":""""}', 'latitude': '43.23558', 'longitude': '-108.110518', 'needs_recoding': False}",
PACIFIC,2016,42,,-,0,,1,,2,,,-,,-,0,,4,,11,,16,,26,,114,,145,,4541,,4722,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ALASKA,2016,42,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,3,,8,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ALASKA"",""zip"":""""}', 'latitude': '64.836661', 'longitude': '-147.738891', 'needs_recoding': False}",
CALIFORNIA,2016,42,,-,0,,1,,1,,,-,,-,0,,1,,8,,10,,18,,99,,125,,4010,,4012,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""CALIFORNIA"",""zip"":""""}', 'latitude': '37.640735', 'longitude': '-121.002435', 'needs_recoding': False}",
HAWAII,2016,42,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,50,,64,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""HAWAII"",""zip"":""""}', 'latitude': '21.30992', 'longitude': '-157.858158', 'needs_recoding': False}",
OREGON,2016,42,,-,0,,1,,1,,,-,,-,0,,1,,3,,6,,2,,6,,15,,259,,280,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OREGON"",""zip"":""""}', 'latitude': '44.567912', 'longitude': '-120.156945', 'needs_recoding': False}",
WASHINGTON,2016,42,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,6,,6,,13,,219,,358,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WASHINGTON"",""zip"":""""}', 'latitude': '47.517368', 'longitude': '-120.467672', 'needs_recoding': False}",
AMER. SAMOA,2016,42,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""AMER. SAMOA"",""zip"":""""}', 'needs_recoding': False}",
C.N.M.I.,2016,42,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""C.N.M.I."",""zip"":""""}', 'needs_recoding': False}",
GUAM,2016,42,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""GUAM"",""zip"":""""}', 'latitude': '13.3532', 'longitude': '144.653198', 'needs_recoding': False}",
PUERTO RICO,2016,42,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,9,,26,,363,,428,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""PUERTO RICO"",""zip"":""""}', 'latitude': '18.215692', 'longitude': '-66.414655', 'needs_recoding': False}",
VIRGIN ISL.,2016,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGIN ISL."",""zip"":""""}', 'needs_recoding': False}",
UNITED STATES,2016,43,,-,2,,11,,126,,177,,20,,49,,322,,3272,,3494,,102,,486,,581,,19591,,19596,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
NEW ENGLAND,2016,43,,-,0,,0,,,-,2,,,-,0,,2,,8,,13,,4,,13,,25,,538,,537,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
CONNECTICUT,2016,43,,-,0,,0,,,-,1,,,-,0,,1,,,-,3,,,-,1,,4,,41,,78,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""CONNECTICUT"",""zip"":""""}', 'latitude': '41.544654', 'longitude': '-72.651713', 'needs_recoding': False}",
MAINE,2016,43,,-,0,,0,,,-,,-,,-,0,,1,,2,,,-,,-,1,,4,,35,,24,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MAINE"",""zip"":""""}', 'latitude': '45.252223', 'longitude': '-68.986647', 'needs_recoding': False}",
MASSACHUSETTS,2016,43,,-,0,,0,,,-,1,,,-,0,,1,,4,,8,,,-,8,,18,,339,,333,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MASSACHUSETTS"",""zip"":""""}', 'latitude': '42.268546', 'longitude': '-72.085064', 'needs_recoding': False}",
NEW HAMPSHIRE,2016,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,11,,45,,33,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW HAMPSHIRE"",""zip"":""""}', 'latitude': '43.657736', 'longitude': '-71.500736', 'needs_recoding': False}",
RHODE ISLAND,2016,43,,-,0,,0,,,-,,-,,-,0,,1,,1,,2,,4,,1,,7,,60,,63,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""RHODE ISLAND"",""zip"":""""}', 'latitude': '41.707447', 'longitude': '-71.522488', 'needs_recoding': False}",
VERMONT,2016,43,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,0,,3,,18,,6,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VERMONT"",""zip"":""""}', 'latitude': '43.622479', 'longitude': '-72.51927', 'needs_recoding': False}",
MID. ATLANTIC,2016,43,,-,0,,1,,10,,6,,2,,2,,11,,102,,104,,21,,67,,101,,2711,,2393,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
NEW JERSEY,2016,43,,-,0,,1,,1,,1,,,-,0,,6,,51,,59,,,-,8,,17,,322,,297,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW JERSEY"",""zip"":""""}', 'latitude': '40.104655', 'longitude': '-74.386686', 'needs_recoding': False}",
NEW YORK,2016,43,,-,0,,1,,7,,5,,2,,0,,2,,15,,26,,16,,10,,46,,399,,364,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK"",""zip"":""""}', 'latitude': '42.826892', 'longitude': '-75.544286', 'needs_recoding': False}",
NEW YORK CITY,2016,43,,-,0,,0,,,-,,-,,-,0,,3,,18,,4,,3,,34,,45,,1370,,1198,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK CITY"",""zip"":""""}', 'needs_recoding': False}",
PENNSYLVANIA,2016,43,,-,0,,1,,2,,,-,,-,0,,3,,18,,15,,2,,15,,24,,620,,534,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""PENNSYLVANIA"",""zip"":""""}', 'latitude': '40.789676', 'longitude': '-77.858055', 'needs_recoding': False}",
E.N. CENTRAL,2016,43,,-,0,,2,,5,,2,,,-,1,,13,,113,,96,,,-,43,,58,,1694,,2003,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ILLINOIS,2016,43,,-,0,,1,,1,,1,,,-,0,,7,,50,,49,,,-,14,,32,,539,,886,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ILLINOIS"",""zip"":""""}', 'latitude': '40.477092', 'longitude': '-88.993221', 'needs_recoding': False}",
INDIANA,2016,43,,-,0,,0,,,-,,-,,-,0,,4,,28,,30,,,-,6,,12,,258,,256,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""INDIANA"",""zip"":""""}', 'latitude': '39.76845', 'longitude': '-86.156212', 'needs_recoding': False}",
MICHIGAN,2016,43,,-,0,,1,,2,,,-,,-,0,,1,,3,,2,,,-,6,,12,,250,,340,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MICHIGAN"",""zip"":""""}', 'latitude': '44.66399', 'longitude': '-84.711206', 'needs_recoding': False}",
OHIO,2016,43,,-,0,,1,,2,,1,,,-,0,,4,,21,,10,,,-,13,,22,,544,,455,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OHIO"",""zip"":""""}', 'latitude': '40.056807', 'longitude': '-82.405897', 'needs_recoding': False}",
WISCONSIN,2016,43,,-,0,,0,,,-,,-,,-,0,,2,,11,,5,,,-,2,,6,,103,,66,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WISCONSIN"",""zip"":""""}', 'latitude': '44.395526', 'longitude': '-89.834513', 'needs_recoding': False}",
W.N. CENTRAL,2016,43,,-,0,,2,,14,,10,,2,,7,,30,,457,,497,,1,,17,,32,,760,,654,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
IOWA,2016,43,,-,0,,0,,,-,,-,,-,0,,2,,11,,8,,,-,1,,3,,56,,65,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""IOWA"",""zip"":""""}', 'latitude': '42.46942', 'longitude': '-93.815856', 'needs_recoding': False}",
KANSAS,2016,43,,-,0,,1,,2,,1,,,-,1,,10,,100,,144,,1,,2,,6,,94,,75,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""KANSAS"",""zip"":""""}', 'latitude': '38.345528', 'longitude': '-98.201847', 'needs_recoding': False}",
MINNESOTA,2016,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,10,,,-,5,,11,,221,,196,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MINNESOTA"",""zip"":""""}', 'latitude': '46.357661', 'longitude': '-94.793397', 'needs_recoding': False}",
MISSOURI,2016,43,,-,0,,2,,10,,4,,2,,5,,23,,319,,308,,,-,7,,16,,308,,243,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MISSOURI"",""zip"":""""}', 'latitude': '38.636168', 'longitude': '-92.566292', 'needs_recoding': False}",
NEBRASKA,2016,43,,-,0,,1,,1,,4,,,-,0,,4,,21,,20,,,-,1,,6,,49,,33,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEBRASKA"",""zip"":""""}', 'latitude': '41.640503', 'longitude': '-99.367122', 'needs_recoding': False}",
NORTH DAKOTA,2016,43,,-,0,,0,,,-,,-,,-,0,,1,,1,,6,,,-,0,,3,,25,,9,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH DAKOTA"",""zip"":""""}', 'latitude': '47.475879', 'longitude': '-100.121011', 'needs_recoding': False}",
SOUTH DAKOTA,2016,43,,-,0,,1,,1,,1,,,-,0,,2,,5,,1,,,-,0,,2,,7,,33,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH DAKOTA"",""zip"":""""}', 'latitude': '44.35371', 'longitude': '-100.373709', 'needs_recoding': False}",
S. ATLANTIC,2016,43,,-,1,,10,,64,,116,,6,,12,,42,,707,,781,,13,,121,,164,,4808,,4968,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
DELAWARE,2016,43,,-,0,,0,,,-,,-,,-,0,,3,,10,,17,,3,,0,,7,,51,,37,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""DELAWARE"",""zip"":""""}', 'latitude': '39.008676', 'longitude': '-75.574561', 'needs_recoding': False}",
DIST. OF COL.,2016,43,,-,0,,1,,1,,,-,,-,0,,1,,2,,,-,,-,1,,7,,83,,82,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""DIST. OF COL."",""zip"":""""}', 'needs_recoding': False}",
FLORIDA,2016,43,,-,0,,1,,4,,,-,1,,0,,2,,13,,18,,4,,43,,66,,1835,,1688,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""FLORIDA"",""zip"":""""}', 'latitude': '28.915325', 'longitude': '-81.922409', 'needs_recoding': False}",
GEORGIA,2016,43,,-,1,,8,,50,,106,,,-,0,,0,,,-,,-,2,,25,,50,,1039,,1210,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""GEORGIA"",""zip"":""""}', 'latitude': '32.836038', 'longitude': '-83.631709', 'needs_recoding': False}",
MARYLAND,2016,43,,-,0,,1,,3,,,-,1,,0,,5,,39,,4,,2,,8,,22,,372,,424,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MARYLAND"",""zip"":""""}', 'latitude': '39.290443', 'longitude': '-76.612333', 'needs_recoding': False}",
NORTH CAROLINA,2016,43,,-,0,,2,,4,,5,,,-,7,,27,,360,,417,,,-,20,,41,,790,,979,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH CAROLINA"",""zip"":""""}', 'latitude': '35.47995', 'longitude': '-79.180571', 'needs_recoding': False}",
SOUTH CAROLINA,2016,43,,-,0,,1,,1,,2,,1,,0,,2,,23,,44,,2,,6,,15,,260,,229,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH CAROLINA"",""zip"":""""}', 'latitude': '34.009286', 'longitude': '-81.037094', 'needs_recoding': False}",
VIRGINIA,2016,43,,-,0,,1,,1,,3,,3,,4,,18,,251,,273,,,-,6,,41,,332,,279,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGINIA"",""zip"":""""}', 'latitude': '37.542699', 'longitude': '-78.45822', 'needs_recoding': False}",
WEST VIRGINIA,2016,43,,-,0,,0,,,-,,-,,-,0,,2,,9,,8,,,-,1,,4,,46,,40,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WEST VIRGINIA"",""zip"":""""}', 'latitude': '38.668501', 'longitude': '-80.709421', 'needs_recoding': False}",
E.S. CENTRAL,2016,43,,-,0,,4,,14,,18,,9,,19,,65,,1112,,1052,,5,,19,,38,,808,,807,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ALABAMA,2016,43,,-,0,,1,,4,,1,,3,,6,,24,,389,,273,,,-,5,,14,,186,,222,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ALABAMA"",""zip"":""""}', 'latitude': '32.839182', 'longitude': '-86.631125', 'needs_recoding': False}",
KENTUCKY,2016,43,,-,0,,2,,6,,,-,,-,2,,11,,119,,125,,4,,3,,12,,147,,114,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""KENTUCKY"",""zip"":""""}', 'latitude': '37.64591', 'longitude': '-84.774043', 'needs_recoding': False}",
MISSISSIPPI,2016,43,,-,0,,1,,,-,3,,,-,1,,7,,78,,90,,1,,5,,13,,226,,179,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MISSISSIPPI"",""zip"":""""}', 'latitude': '32.738663', 'longitude': '-89.537312', 'needs_recoding': False}",
TENNESSEE,2016,43,,-,0,,1,,4,,14,,6,,8,,40,,526,,564,,,-,7,,15,,249,,292,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""TENNESSEE"",""zip"":""""}', 'latitude': '35.681402', 'longitude': '-85.774444', 'needs_recoding': False}",
W.S. CENTRAL,2016,43,,-,0,,7,,7,,6,,1,,9,,307,,742,,905,,35,,54,,75,,2310,,2222,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ARKANSAS,2016,43,,-,0,,1,,5,,3,,,-,8,,75,,687,,822,,,-,3,,10,,107,,99,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ARKANSAS"",""zip"":""""}', 'latitude': '34.748745', 'longitude': '-92.275105', 'needs_recoding': False}",
LOUISIANA,2016,43,,-,0,,0,,,-,1,,,-,0,,2,,,-,11,,,-,13,,38,,468,,559,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""LOUISIANA"",""zip"":""""}', 'latitude': '31.2931', 'longitude': '-92.463284', 'needs_recoding': False}",
OKLAHOMA,2016,43,,-,0,,7,,,-,,-,,-,0,,275,,3,,25,,,-,4,,12,,160,,162,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OKLAHOMA"",""zip"":""""}', 'latitude': '35.468494', 'longitude': '-97.521264', 'needs_recoding': False}",
TEXAS,2016,43,,-,0,,1,,2,,2,,1,,1,,6,,52,,47,,35,,37,,51,,1575,,1402,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""TEXAS"",""zip"":""""}', 'latitude': '31.827233', 'longitude': '-99.423022', 'needs_recoding': False}",
MOUNTAIN,2016,43,,-,0,,2,,10,,17,,,-,0,,3,,20,,30,,,-,30,,43,,1256,,1166,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ARIZONA,2016,43,,-,0,,2,,7,,10,,,-,0,,2,,11,,7,,,-,12,,19,,505,,488,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ARIZONA"",""zip"":""""}', 'latitude': '34.869712', 'longitude': '-111.760902', 'needs_recoding': False}",
COLORADO,2016,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,7,,,-,5,,9,,198,,196,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""COLORADO"",""zip"":""""}', 'latitude': '38.841772', 'longitude': '-106.132562', 'needs_recoding': False}",
IDAHO,2016,43,,-,0,,1,,3,,,-,,-,0,,1,,4,,3,,,-,1,,5,,34,,42,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}', 'latitude': '43.680635', 'longitude': '-114.364237', 'needs_recoding': False}",
MONTANA,2016,43,,-,0,,0,,,-,5,,,-,0,,1,,4,,4,,,-,0,,2,,17,,10,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}', 'latitude': '47.062617', 'longitude': '-109.430168', 'needs_recoding': False}",
NEVADA,2016,43,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,,-,7,,14,,294,,279,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEVADA"",""zip"":""""}', 'latitude': '39.491833', 'longitude': '-117.070159', 'needs_recoding': False}",
NEW MEXICO,2016,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,,-,3,,10,,136,,94,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}', 'latitude': '34.520396', 'longitude': '-106.244402', 'needs_recoding': False}",
UTAH,2016,43,,-,0,,0,,,-,1,,,-,0,,0,,,-,6,,,-,1,,6,,69,,53,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""UTAH"",""zip"":""""}', 'latitude': '39.359772', 'longitude': '-111.584173', 'needs_recoding': False}",
WYOMING,2016,43,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,3,,4,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WYOMING"",""zip"":""""}', 'latitude': '43.23558', 'longitude': '-108.110518', 'needs_recoding': False}",
PACIFIC,2016,43,,-,0,,1,,2,,,-,,-,0,,4,,11,,16,,23,,114,,145,,4706,,4846,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ALASKA,2016,43,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,3,,8,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ALASKA"",""zip"":""""}', 'latitude': '64.836661', 'longitude': '-147.738891', 'needs_recoding': False}",
CALIFORNIA,2016,43,,-,0,,1,,1,,,-,,-,0,,1,,8,,10,,15,,99,,127,,4153,,4112,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""CALIFORNIA"",""zip"":""""}', 'latitude': '37.640735', 'longitude': '-121.002435', 'needs_recoding': False}",
